base_url,city,citycountry,cloudiness,country,humidity,lat,lng,temp,wind speed
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=rehoboth,na&APPID=658432372d775e19d42e7c70280b22af",rehoboth,rehobothna,8,na,30,-24,17,19.24,8.41
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=zvishavane,zw&APPID=658432372d775e19d42e7c70280b22af",zvishavane,zvishavanezw,12,zw,32,-21,30,24.04,2.51
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=ballina,ie&APPID=658432372d775e19d42e7c70280b22af",ballina,ballinaie,40,ie,60,58,-12,21.0,3.1
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=kurilsk,ru&APPID=658432372d775e19d42e7c70280b22af",kurilsk,kurilskru,80,ru,92,45,148,8.84,4.41
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=constitucion,mx&APPID=658432372d775e19d42e7c70280b22af",constitucion,constitucionmx,5,mx,33,14,-127,25.0,3.1
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=esperance,au&APPID=658432372d775e19d42e7c70280b22af",esperance,esperanceau,48,au,48,-40,122,13.14,6.11
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=wattegama,lk&APPID=658432372d775e19d42e7c70280b22af",wattegama,wattegamalk,100,lk,92,5,84,24.04,3.41
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=mondlo,za&APPID=658432372d775e19d42e7c70280b22af",mondlo,mondloza,0,za,36,-28,31,15.49,2.16
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=leshukonskoye,ru&APPID=658432372d775e19d42e7c70280b22af",leshukonskoye,leshukonskoyeru,56,ru,53,65,45,4.74,5.86
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=malanville,bj&APPID=658432372d775e19d42e7c70280b22af",malanville,malanvillebj,8,bj,63,12,3,35.29,2.06
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=grand island,us&APPID=658432372d775e19d42e7c70280b22af",grand island,grand islandus,1,us,69,41,-98,23.0,6.2
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=nome,us&APPID=658432372d775e19d42e7c70280b22af",nome,nomeus,40,us,62,66,-161,32.0,3.6
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=victoria,sc&APPID=658432372d775e19d42e7c70280b22af",victoria,victoriasc,40,sc,78,-6,49,27.0,4.6
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=kisesa,tz&APPID=658432372d775e19d42e7c70280b22af",kisesa,kisesatz,0,tz,55,-3,34,26.79,2.31
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=gasa,bt&APPID=658432372d775e19d42e7c70280b22af",gasa,gasabt,32,bt,60,29,90,-5.76,0.71
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=kangasala,fi&APPID=658432372d775e19d42e7c70280b22af",kangasala,kangasalafi,0,fi,39,62,24,19.0,3.6
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=vaini,to&APPID=658432372d775e19d42e7c70280b22af",vaini,vainito,20,to,93,-66,-172,18.0,2.1
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=ponta do sol,cv&APPID=658432372d775e19d42e7c70280b22af",ponta do sol,ponta do solcv,48,cv,100,18,-33,21.64,7.91
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=alyangula,au&APPID=658432372d775e19d42e7c70280b22af",alyangula,alyangulaau,0,au,88,-14,141,26.14,9.61
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=mingguang,cn&APPID=658432372d775e19d42e7c70280b22af",mingguang,mingguangcn,92,cn,75,33,118,22.19,4.16
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=upernavik,gl&APPID=658432372d775e19d42e7c70280b22af",upernavik,upernavikgl,88,gl,93,89,-53,-0.01,1.46
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=kuching,my&APPID=658432372d775e19d42e7c70280b22af",kuching,kuchingmy,75,my,94,4,109,26.0,1.5
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=vila do maio,cv&APPID=658432372d775e19d42e7c70280b22af",vila do maio,vila do maiocv,20,cv,51,15,-22,27.0,6.7
"https://api.openweathermap.org/data/2.5/weather?units=metric&q=udachnyy,ru&APPID=658432372d775e19d42e7c70280b22af",udachnyy,udachnyyru,36,ru,90,68,116,5.04,2.46
